Date, Stock Price, Option Price, Implied Volatility, Delta, Hedging Error, PNL, PNL (with hedge)
2011-03-24,586.89,112.75,0.612617,1,0.0291079,5.35,0.0291079
2011-03-25,579.74,107.4,0.637314,0.715673,0.0527853,8.75,0.0818932
2011-03-28,575.36,104,0.654795,1,-0.00166299,5.25,0.0802302
2011-03-29,581.73,107.5,0.636863,0.708895,-0.142021,4.75,-0.0617908
2011-03-30,581.84,108,0.637233,1,-0.1203,0.9,-0.182091
2011-03-31,586.76,111.85,0.622201,0.704973,-0.102767,-1.85,-0.284858
2011-04-01,591.8,114.6,0.610738,1,-0.0810315,2.1,-0.365889
2011-04-04,587.68,110.65,0.627496,0.710859,-0.135356,15.8,-0.501245
2011-04-05,569.09,96.95,0.695077,1,-0.103452,10.6,-0.604698
2011-04-06,574.18,102.15,0.673513,0.710895,-0.20839,6.8,-0.813087
2011-04-07,580,105.95,0.655499,1,-0.239749,7.05,-1.05284
2011-04-08,578.16,105.7,0.661059,0.71571,-0.297455,9.4,-1.35029
2011-04-11,577.37,103.35,0.670101,1,-0.282068,13.5,-1.63236
2011-04-12,570.61,99.25,0.695828,0.720757,-0.251148,8.85,-1.88351
2011-04-13,576.28,103.9,0.674683,1,-0.227646,6.25,-2.11115
2011-04-14,578.51,106.5,0.665651,0.716329,-0.202282,43.85,-2.31344
2011-04-15,530.7,68.9,0.919083,1,-0.205581,46.8,-2.51902
2011-04-18,526.84,65.95,0.950329,0.700175,-0.196105,51.1,-2.71512
2011-04-19,521.53,61.65,0.996341,1,-0.166758,49.6,-2.88188
2011-04-20,525.73,63.15,0.971,0.703998,-0.136079,49.65,-3.01796
2011-04-21,525.1,63.1,0.977629,1,-0.152072,49.9,-3.17003
2011-04-25,525.05,62.85,0.98448,0.709048,-0.145318,44.75,-3.31535
2011-04-26,532.82,68,0.930847,1,-0.144778,42.9,-3.46013
2011-04-27,537.76,69.85,0.905093,0.70731,-0.109442,42.85,-3.56957
2011-04-28,537.97,69.9,0.906372,1,-0.105411,40.45,-3.67498
2011-04-29,544.1,72.3,0.876268,0.706691,-0.0691198,42.55,-3.7441
2011-05-02,538.56,70.2,0.908255,1,-0.0424457,45.2,-3.78654
2011-05-03,533.89,67.55,0.941206,0.700949,-0.0163991,43.4,-3.80294
2011-05-04,535.79,69.35,0.929386,1,0.00182434,44.45,-3.80112
2011-05-05,534.27,68.3,0.942453,0.705508,0.0311717,43.85,-3.76995
2011-05-06,535.3,68.9,0.938821,1,0.0607015,42.85,-3.70925
2011-05-09,537.68,69.9,0.927514,0.707491,0.0926645,40.2,-3.61658
2011-05-10,542.66,72.55,0.899702,1,0.061268,44.8,-3.55531
2011-05-11,535.45,67.95,0.949563,0.686283,0.0884028,45.35,-3.46691
2011-05-12,535.05,67.4,0.956137,1,0.103939,49,-3.36297
2011-05-13,529.55,63.75,0.999426,0.686985,0.100444,55.8,-3.26253
2011-05-16,518.42,56.95,0.648171,1,0.133023,48.7,-3.12951
2011-05-17,530.46,64.05,0.99958,0.6888,0.160061,49.5,-2.96944
2011-05-18,529.81,63.25,0.53811,1,0.145327,49.1,-2.82412
2011-05-19,531.25,63.65,0.529789,0.688231,0.180685,54.15,-2.64343
2011-05-20,524.03,58.6,0.61356,1,0.212463,56.6,-2.43097
2011-05-23,518.39,56.15,0.666742,0.688265,0.208127,57.1,-2.22284
2011-05-24,518.26,55.65,0.674711,1,0.236085,56.65,-1.98676
2011-05-25,519.67,56.1,0.665881,0.688467,0.269048,58.35,-1.71771
2011-05-26,518.13,54.4,0.69323,1,0.293077,57.2,-1.42463
2011-05-27,520.9,55.55,0.6699,0.687324,0.333471,53.15,-1.09116
2011-05-31,529.02,59.6,0.594481,1,0.374527,54.3,-0.716635
2011-06-01,525.6,58.45,0.62407,0.687963,0.410929,52.45,-0.305706
2011-06-02,528.06,60.3,0.595564,1,0.395528,55.15,0.0898219
2011-06-03,523.08,57.6,0.649276,0.688041,0.432763,56.65,0.522584
2011-06-06,521.06,56.1,0.677175,1,0.465886,58.05,0.988471
2011-06-07,519.03,54.7,0.704656,0.689496,0.215252,58.05,1.20372
2011-06-08,519.17,54.7,0.706387,1,0.0770161,60.1,1.28074
2011-06-09,516.73,52.65,0.743456,0.688155,0.103679,64.35,1.38442
2011-06-10,509.505,48.4,0.833265,1,0.141542,67.9,1.52596
2011-06-13,504.73,44.85,0.905232,0.687881,0.138944,66.25,1.6649
2011-06-14,508.37,46.5,0.867316,1,0.152107,68.5,1.81701
2011-06-15,502.95,44.25,0.929939,0.687671,0.195718,68.7,2.01273
2011-06-16,500.37,44.05,0.952828,1,0.239754,75.55,2.25248
2011-06-17,485.02,37.2,0.830225,0.687725,0.284263,76.9,2.53675
2011-06-20,484.58,35.85,0.858721,1,0.189151,74,2.7259
2011-06-21,493,38.75,0.767188,0.687759,0.236316,77.45,2.96221
2011-06-22,487.005,35.3,0.862829,1,0.239679,80.75,3.20189
2011-06-23,480.22,32,0.958992,0.688056,0.280757,83.15,3.48265
2011-06-24,474.88,29.6,0.798066,1,0.331269,79.8,3.81392
2011-06-27,482.8,32.95,0.936459,0.688887,0.37241,74.5,4.18633
2011-06-28,493.65,38.25,0.787323,1,0.424988,72.65,4.61132
2011-06-29,497.57,40.1,0.736324,0.688238,0.398767,68.55,5.01008
2011-06-30,506.38,44.2,0.947987,1,0.454252,60.4,5.46433
2011-07-01,521.028,52.35,0.766585,0.688379,0.487091,52.35,5.95143
2011-07-05,532.44,60.4,0.622307,1,0.347075,50.85,6.2985
2011-07-06,535.36,61.9,0.593864,0.688961,0.395047,42.35,6.69355
2011-07-07,546.6,70.4,0.453729,1,0.259551,52.65,6.9531
2011-07-08,531.99,60.1,0.635236,0.0136402,0.306454,54.55,7.25955
2011-07-11,527.28,58.2,0.683692,0.633934,0.368958,49.05,7.62851
2011-07-12,534.01,63.7,0.590013,1,0.106484,46.3,7.73499
2011-07-13,538.26,66.45,0.541689,0.689002,-0.0504754,53,7.68452
2011-07-14,528.94,59.75,0.66556,1,-0.0923679,0.95,7.59215
2011-07-15,597.62,111.8,0.766183,0.00929796,-0.117322,2.15,7.47483
2011-07-18,594.94,110.6,0.776217,0.639507,-0.204069,-2.85,7.27076
2011-07-19,602.55,115.6,0.755132,1,-0.165307,3.1,7.10545
2011-07-20,595.35,109.65,0.783601,0.0088902,-0.133618,-6.15,6.97183
2011-07-21,606.99,118.9,0.746957,0.641155,-0.0975532,-15.55,6.87428
2011-07-22,618.23,128.3,0.71606,1,-0.0452847,-16.75,6.829
2011-07-25,618.98,129.5,0.715433,0.0116226,0.00808987,-19.45,6.83709
2011-07-26,622.52,132.2,0.709361,0.636972,0.0605428,-7,6.89763
2011-07-27,607.22,119.75,0.75623,1,0.101572,-9.85,6.9992
2011-07-28,610.94,122.6,0.748157,0.0138623,0.139923,-5.8,7.13912
2011-07-29,603.69,118.55,0.769503,0.635072,0.1847,-6.8,7.32383
2011-08-01,606.77,119.55,0.766355,1,0.235393,4.05,7.55922
2011-08-02,592.4,108.7,0.818896,0.0140077,0.30294,-3.05,7.86216
2011-08-03,601.17,115.8,0.789683,0.635616,0.37445,12.6,8.23661
2011-08-04,577.52,100.15,0.881655,1,0.472974,10,8.70958
2011-08-05,579.04,102.75,0.873714,0.0134861,0.544283,28.8,9.25386
2011-08-08,546.02,83.95,0.34274,0.636094,0.420515,16.35,9.67438
2011-08-09,573.41,96.4,0.914822,1,0.510513,30.2,10.1849
2011-08-10,549.01,82.55,0.347784,0.0143148,0.434869,22.9,10.6198
2011-08-11,562.13,89.85,0.980284,0.637092,0.444087,22.25,11.0638
2011-08-12,563.77,90.5,0.975966,1,0.450375,29.3,11.5142
2011-08-15,557.23,83.45,0.303797,0.0131836,-1.8,42.65,9.71422
2011-08-16,539,70.1,0.548897,0.637707,-1.53465,47.65,8.17958
2011-08-17,533.15,65.1,0.644553,1,1.33535,59.5,9.51493
2011-08-18,504.88,53.25,0.563061,0.0101168,0.913332,67.1,10.4283
2011-08-19,490.92,45.65,0.816401,0.641243,1.98333,64.75,12.4116
2011-08-22,498.17,48,0.722068,1,2.78639,54.65,15.198
2011-08-23,518.82,58.1,0.841544,0.0112922,2.61639,51.3,17.8144
2011-08-24,523.29,61.45,0.770133,0.638751,3.10152,51.6,20.9159
2011-08-25,520.04,61.15,0.801483,1,2.99152,50.05,23.9074
2011-08-26,526.86,62.7,0.737033,0.0103147,3.32892,44.1,27.2363
2011-08-29,539.08,68.65,0.588519,0.639691,1.73892,42.3,28.9753
2011-08-30,540.7,70.45,0.559553,1,3.52351,42.85,32.4988
2011-08-31,540.96,69.9,0.567154,0.012247,0.863514,0,33.3623
